gpu_mem_total_mib,gpu_mem_used_mib,gpu_mem_util_pct,gpu_power_w,gpu_util_pct,t
,,0.0,32.85,93.0,1785368047.6252055
,,0.0,32.88,93.0,1785368048.6730242
,,0.0,32.91,93.0,1785368049.7194576
,,0.0,33.89,93.0,1785368050.7672272
,,0.0,32.94,93.0,1785368051.8230336
,,0.0,32.98,93.0,1785368052.8688476
,,0.0,32.87,93.0,1785368053.917026
,,0.0,32.87,93.0,1785368054.9670086
,,0.0,32.78,93.0,1785368056.014581
,,0.0,32.86,93.0,1785368057.0631404
,,0.0,32.94,93.0,1785368058.1140234
,,0.0,32.94,93.0,1785368059.1597583
,,0.0,32.94,93.0,1785368060.2069275
,,0.0,32.97,93.0,1785368061.2551582
,,0.0,32.92,93.0,1785368062.303882
,,0.0,32.94,93.0,1785368063.3547122
,,0.0,33.04,93.0,1785368064.401682
,,0.0,33.01,93.0,1785368065.4509892
,,0.0,32.97,93.0,1785368066.498026
,,0.0,32.9,93.0,1785368067.5429502
,,0.0,32.94,93.0,1785368068.591288
,,0.0,33.05,93.0,1785368069.6392016
,,0.0,33.0,93.0,1785368070.6873364
,,0.0,33.01,93.0,1785368071.7355967
,,0.0,33.06,93.0,1785368072.783976
,,0.0,33.1,93.0,1785368073.8274875
,,0.0,33.1,93.0,1785368074.8700416
,,0.0,33.34,93.0,1785368075.9147813
,,0.0,33.07,93.0,1785368076.9616065
,,0.0,32.99,93.0,1785368078.0093296
,,0.0,33.02,93.0,1785368079.0588977
,,0.0,32.97,93.0,1785368080.1040232
,,0.0,33.05,93.0,1785368081.156885
,,0.0,33.54,89.0,1785368082.2061439
,,0.0,33.05,94.0,1785368083.253909
,,0.0,33.08,93.0,1785368084.2982144
,,0.0,33.04,93.0,1785368085.3468323
,,0.0,33.08,93.0,1785368086.3938367
,,0.0,33.07,93.0,1785368087.440875
,,0.0,33.47,93.0,1785368088.485573
,,0.0,33.06,93.0,1785368089.529049
,,0.0,33.04,93.0,1785368090.5736654
,,0.0,33.0,93.0,1785368091.6138399
,,0.0,33.05,93.0,1785368092.6565733
,,0.0,33.09,93.0,1785368093.7076552
,,0.0,33.55,93.0,1785368094.7525043
,,0.0,33.07,93.0,1785368095.7957385
,,0.0,33.09,93.0,1785368096.8429704
,,0.0,33.99,93.0,1785368097.8852015
,,0.0,33.07,93.0,1785368098.9293456
,,0.0,33.06,93.0,1785368099.972752
,,0.0,33.07,93.0,1785368101.019792
,,0.0,33.12,93.0,1785368102.066678
,,0.0,33.17,93.0,1785368103.1154487
,,0.0,33.18,93.0,1785368104.1631148
,,0.0,33.16,93.0,1785368105.2050433
,,0.0,33.23,93.0,1785368106.257157
,,0.0,34.06,93.0,1785368107.3016865
,,0.0,33.06,93.0,1785368108.349715
,,0.0,33.11,93.0,1785368109.392245
,,0.0,33.13,93.0,1785368110.4348335
,,0.0,33.04,93.0,1785368111.4868436
,,0.0,33.14,93.0,1785368112.5295415
,,0.0,33.2,93.0,1785368113.5814016
,,0.0,33.2,93.0,1785368114.631289
,,0.0,33.29,93.0,1785368115.6813776
,,0.0,34.58,94.0,1785368116.72702
,,0.0,33.15,93.0,1785368117.7769926
,,0.0,34.81,93.0,1785368118.8231235
,,0.0,33.17,93.0,1785368119.8711028
,,0.0,33.18,93.0,1785368120.9213805
,,0.0,34.87,90.0,1785368121.9729648
,,0.0,33.14,93.0,1785368123.0257623
,,0.0,34.98,93.0,1785368124.072949
,,0.0,33.23,93.0,1785368125.1193442
,,0.0,33.1,93.0,1785368126.1616008
,,0.0,34.33,94.0,1785368127.2041605
,,0.0,33.16,93.0,1785368128.2483938
,,0.0,28.77,93.0,1785368129.2934117
,,0.0,31.08,94.0,1785368130.3195
,,0.0,37.97,93.0,1785368131.3664036
,,0.0,37.22,93.0,1785368132.4118977
,,0.0,40.3,94.0,1785368133.4452868
,,0.0,38.55,94.0,1785368134.4904325
,,0.0,34.55,94.0,1785368135.5380454
,,0.0,34.93,93.0,1785368136.5635421
,,0.0,33.13,93.0,1785368137.6054475
,,0.0,38.74,93.0,1785368138.643364
,,0.0,37.09,94.0,1785368139.6938567
,,0.0,37.19,94.0,1785368140.7482681
,,0.0,38.49,94.0,1785368141.796493
,,0.0,33.37,93.0,1785368142.8440673
,,0.0,33.27,93.0,1785368143.8872414
,,0.0,41.62,94.0,1785368144.935129
,,0.0,39.41,94.0,1785368145.9875174
,,0.0,39.27,95.0,1785368147.0427291
,,0.0,39.43,94.0,1785368148.0949605
,,0.0,42.74,95.0,1785368149.137399
,,0.0,39.41,94.0,1785368150.1983025
,,0.0,39.43,95.0,1785368151.2487414
,,0.0,39.59,95.0,1785368152.29857
,,0.0,39.0,94.0,1785368153.3478026
,,0.0,14.45,0.0,1785368154.394462
,,0.0,12.79,0.0,1785368155.420552
,,0.0,12.72,0.0,1785368156.444166
,,0.0,12.62,0.0,1785368157.4702046
,,0.0,12.59,0.0,1785368158.4943652
,,0.0,13.77,0.0,1785368159.5330236
,,0.0,12.52,0.0,1785368160.5603664
,,0.0,36.14,93.0,1785368161.619119
,,0.0,32.8,93.0,1785368162.660242
,,0.0,29.01,93.0,1785368163.7074761
,,0.0,31.81,93.0,1785368164.7340565
,,0.0,32.81,93.0,1785368165.7838273
,,0.0,32.89,93.0,1785368166.829248
,,0.0,27.28,0.0,1785368167.8752174
,,0.0,32.83,93.0,1785368168.9298646
,,0.0,25.22,93.0,1785368169.977822
,,0.0,36.26,95.0,1785368171.0020142
,,0.0,27.29,20.0,1785368172.050987
,,0.0,32.86,93.0,1785368173.104963
,,0.0,32.89,93.0,1785368174.1510737
,,0.0,25.7,93.0,1785368175.200265
,,0.0,33.21,95.0,1785368176.2451942
,,0.0,28.58,9.0,1785368177.2723958
,,0.0,31.67,94.0,1785368178.3164053
,,0.0,29.68,93.0,1785368179.3403707
,,0.0,23.82,0.0,1785368180.3965492
,,0.0,37.33,93.0,1785368181.4214299
,,0.0,27.18,52.0,1785368182.468056
,,0.0,32.85,93.0,1785368183.5279834
,,0.0,27.3,31.0,1785368184.5743928
,,0.0,32.83,93.0,1785368185.6248972
,,0.0,32.83,93.0,1785368186.6742096
,,0.0,27.33,0.0,1785368187.7210562
,,0.0,32.96,93.0,1785368188.770995
,,0.0,32.92,93.0,1785368189.8190398
,,0.0,27.28,0.0,1785368190.863534
,,0.0,32.91,93.0,1785368191.9209254
,,0.0,27.33,0.0,1785368192.9728434
,,0.0,33.01,93.0,1785368194.0245173
,,0.0,27.57,0.0,1785368195.0698614
,,0.0,33.02,93.0,1785368196.1267807
,,0.0,32.97,93.0,1785368197.177923
,,0.0,27.33,53.0,1785368198.2228155
,,0.0,32.97,93.0,1785368199.275024
,,0.0,28.96,93.0,1785368200.3208654
,,0.0,32.08,0.0,1785368201.3456917
,,0.0,32.94,93.0,1785368202.391121
,,0.0,32.94,93.0,1785368203.438356
