gpu_mem_total_mib,gpu_mem_used_mib,gpu_power_w,t
,,35.66,1784241577.2758567
,,39.18,1784241578.320637
,,35.61,1784241579.3701277
,,35.67,1784241580.4144607
,,35.58,1784241581.4591246
,,35.6,1784241582.5017207
,,37.28,1784241583.5454447
,,35.36,1784241584.5970376
,,35.41,1784241585.6454496
,,40.32,1784241586.6940203
,,36.65,1784241587.7417543
,,37.02,1784241588.7902644
,,37.19,1784241589.8376758
,,37.26,1784241590.8844495
,,38.73,1784241591.9291172
,,35.4,1784241592.989897
,,35.43,1784241594.034153
,,35.41,1784241595.0788
,,42.34,1784241596.128949
,,38.27,1784241597.1860135
,,38.25,1784241598.236786
,,38.43,1784241599.2861972
,,38.41,1784241600.3414423
,,38.42,1784241601.3927147
,,38.62,1784241602.4437602
,,43.23,1784241603.4998834
,,38.42,1784241604.5548725
,,38.5,1784241605.61142
,,38.57,1784241606.6682825
,,38.63,1784241607.7184951
,,38.62,1784241608.7738743
,,38.63,1784241609.8277955
